"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 02 11:04:27 EET 2022","Wed Feb 02 11:04:40 EET 2022","12717","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#5 Player cannot continue with 'Self Exclusion' if a duration is not selected.","#5 Player cannot continue with 'Self Exclusion' if a duration is not selected.",""
"passed","Wed Feb 02 10:58:07 EET 2022","Wed Feb 02 10:58:21 EET 2022","13282","","My Profile > Contact Details","","My Profile > Contact Details","#04 Player can update their telephone number.","#04 Player can update their telephone number.",""
"passed","Wed Feb 02 10:54:42 EET 2022","Wed Feb 02 10:54:49 EET 2022","6648","","Home => Terms & Conditions","","Home => Terms & Conditions","#7 User can come to the GamStop page from terms and conditions page","#7 User can come to the GamStop page from terms and conditions page",""
"passed","Wed Feb 02 11:06:09 EET 2022","Wed Feb 02 11:06:21 EET 2022","11392","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#12 Player cannot continue to next step if their new password does not meet the minimum password requirements.","#12 Player cannot continue to next step if their new password does not meet the minimum password requirements.",""
"passed","Wed Feb 02 11:06:47 EET 2022","Wed Feb 02 11:07:07 EET 2022","20584","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#15 Player can successfully update and sign in with their new password.","#15 Player can successfully update and sign in with their new password.",""
"passed","Wed Feb 02 10:53:50 EET 2022","Wed Feb 02 10:54:03 EET 2022","13066","","Expired Link Error","","Expired Link Error","#10 User can click on 'Deposit' button opens Deposit window and successfully deposit.","#10 User can click on 'Deposit' button opens Deposit window and successfully deposit.",""
"passed","Wed Feb 02 10:59:31 EET 2022","Wed Feb 02 10:59:38 EET 2022","6674","","Recover Password","","Recover Password","#01 Player can navigate to the recover password form and is displayed with the correct fields.","#01 Player can navigate to the recover password form and is displayed with the correct fields.",""
"passed","Wed Feb 02 10:55:04 EET 2022","Wed Feb 02 10:55:21 EET 2022","16862","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#2 User can open the Loss Limits Edit modal on edit icon click ","#2 User can open the Loss Limits Edit modal on edit icon click ",""
"passed","Wed Feb 02 10:54:48 EET 2022","Wed Feb 02 10:54:54 EET 2022","6336","","Log In","","Log In","#07 Player cannot login when entering an incorrect password.","#07 Player cannot login when entering an incorrect password.",""
"passed","Wed Feb 02 11:02:25 EET 2022","Wed Feb 02 11:02:31 EET 2022","6641","","Registration > Step 4","","Registration > Step 4","#09 User can select multiple marketing preferences.","#09 User can select multiple marketing preferences.",""
